word,pos,previous-pos,two-previous-pos,next-pos,two-next-pos,positive-word,negative-word,strong-sub,weak-sub,around-positive,around-negative,abstract-or-concrete
it,PRP,VB,TO,DT,VBZ,0,0,0,1,0,0,1
this,DT,PRP,VB,VBZ,JJ,0,0,0,1,0,0,1
raises,VBZ,DT,PRP,JJ,NNS,0,0,0,1,0,0,0
philosophical,JJ,VBZ,DT,NNS,IN,0,0,0,1,0,0,0
arguments,NNS,JJ,VBZ,IN,DT,0,0,0,1,0,0,0
about,IN,NNS,JJ,DT,NN,0,0,0,1,0,0,1
the,DT,IN,NNS,NN,IN,0,0,0,1,0,0,1
nature,NN,DT,IN,IN,DT,0,0,0,1,0,0,0
of,IN,NN,DT,DT,NN,0,0,0,1,0,0,1
the,DT,IN,NN,NN,CC,0,0,0,1,0,0,1
mind,NN,DT,IN,CC,DT,0,0,0,1,0,0,1
and,CC,NN,DT,DT,NNS,0,0,0,1,0,0,1
the,DT,CC,NN,NNS,IN,0,0,0,1,0,0,1
ethics,NNS,DT,CC,IN,VBG,0,0,0,1,0,0,0
of,IN,NNS,DT,VBG,JJ,0,0,0,1,0,0,1
creating,VBG,IN,NNS,JJ,NNS,0,0,0,1,0,1,0
artificial,JJ,VBG,IN,NNS,VBN,0,1,1,0,0,0,1
beings,NNS,JJ,VBG,VBN,IN,0,0,0,1,0,1,0
endowed,VBN,NNS,JJ,IN,JJ,0,0,0,1,0,0,0
with,IN,VBN,NNS,JJ,IN,0,0,0,1,0,0,1
human,JJ,IN,VBN,IN,NN,0,0,0,1,0,0,0
like,IN,JJ,IN,NN,DT,0,0,0,1,0,0,1
intelligence,NN,IN,JJ,DT,NNS,0,0,0,1,0,0,1
these,DT,NN,IN,NNS,VBP,0,0,0,1,0,0,1
issues,NNS,DT,NN,VBP,VBN,0,0,0,1,0,0,0
have,VBP,NNS,DT,VBN,VBN,0,0,0,1,0,0,1
been,VBN,VBP,NNS,VBN,IN,0,0,0,1,0,0,1
explored,VBN,VBN,VBP,IN,JJ,0,0,0,1,0,0,0
by,IN,VBN,VBN,JJ,NN,0,0,0,1,0,0,1
myth,JJ,IN,VBN,NN,CC,0,0,0,1,0,0,1
fiction,NN,JJ,IN,CC,NN,0,0,0,1,0,0,0
and,CC,NN,JJ,NN,IN,0,0,0,1,0,0,1
philosophy,NN,CC,NN,IN,NN,0,0,0,1,0,0,1
since,IN,NN,CC,NN,DT,0,0,0,1,0,0,1
antiquity,NN,IN,NN,DT,NNS,0,0,0,1,0,0,0
some,DT,NN,IN,NNS,RB,0,0,0,1,0,0,1
people,NNS,DT,NN,RB,VBP,0,0,0,1,0,0,0
also,RB,NNS,DT,VBP,NNS,0,0,0,1,0,0,1
consider,VBP,RB,NNS,NNS,TO,0,0,0,1,0,0,0
ai,NNS,VBP,RB,TO,VB,0,0,0,1,0,0,0
to,TO,NNS,VBP,VB,DT,0,0,0,1,0,0,1
be,VB,TO,NNS,DT,NN,0,0,0,1,0,0,1
a,DT,VB,TO,NN,TO,0,0,0,1,0,0,1
danger,NN,DT,VB,TO,NN,0,0,0,1,0,0,1
to,TO,NN,DT,NN,IN,0,0,0,1,0,0,1
humanity,NN,TO,NN,IN,PRP,0,0,0,1,0,0,1
if,IN,NN,TO,PRP,VBZ,0,0,0,1,0,0,1
it,PRP,IN,NN,VBZ,JJ,0,0,0,1,0,0,1
progresses,VBZ,PRP,IN,JJ,NNS,0,0,0,1,0,0,0
unabated,JJ,VBZ,PRP,NNS,VBP,0,0,0,1,0,0,0
others,NNS,JJ,VBZ,VBP,IN,0,0,0,1,0,0,0
believe,VBP,NNS,JJ,IN,VBP,0,0,0,1,0,0,0
that,IN,VBP,NNS,VBP,IN,0,0,0,1,0,0,1
ai,VBP,IN,VBP,IN,JJ,0,0,0,1,0,0,0
unlike,IN,VBP,IN,JJ,JJ,0,0,0,1,0,1,0
previous,JJ,IN,VBP,JJ,NNS,0,1,0,1,0,0,0
technological,JJ,JJ,IN,NNS,MD,0,0,0,1,0,1,0
revolutions,NNS,JJ,JJ,MD,VB,0,0,0,1,0,0,0
will,MD,NNS,JJ,VB,DT,0,0,0,1,0,0,1
create,VB,MD,NNS,DT,NN,0,0,0,1,0,0,0
a,DT,VB,MD,NN,IN,0,0,0,1,0,0,1
risk,NN,DT,VB,IN,NN,0,0,0,1,0,0,1
of,IN,NN,DT,NN,NN,0,0,0,1,0,0,1
mass,NN,IN,NN,NN,IN,0,0,0,1,0,0,1
unemployment,NN,NN,IN,IN,DT,0,0,0,1,0,0,0
in,IN,NN,NN,DT,NN,0,0,0,1,0,0,1
the,DT,IN,NN,NN,JJ,0,0,0,1,0,0,1
twenty,NN,DT,IN,JJ,NN,0,0,0,1,1,0,0
first,JJ,NN,DT,NN,NN,1,0,0,1,0,0,1
century,NN,JJ,NN,NN,NNS,0,0,0,1,1,0,1
ai,NN,NN,JJ,NNS,VBP,0,0,0,1,0,0,0
techniques,NNS,NN,NN,VBP,VBN,0,0,0,1,0,0,0
have,VBP,NNS,NN,VBN,DT,0,0,0,1,1,0,1
experienced,VBN,VBP,NNS,DT,NN,1,0,1,0,0,0,0
a,DT,VBN,VBP,NN,VBG,0,0,0,1,1,0,1
resurgence,NN,DT,VBN,VBG,JJ,0,0,0,1,0,0,0
following,VBG,NN,DT,JJ,NNS,0,0,0,1,0,0,1
concurrent,JJ,VBG,NN,NNS,IN,0,0,0,1,0,0,0
advances,NNS,JJ,VBG,IN,NN,0,0,0,1,0,0,0
in,IN,NNS,JJ,NN,NN,0,0,0,1,0,0,1
computer,NN,IN,NNS,NN,JJ,0,0,0,1,0,0,0
power,NN,NN,IN,JJ,NNS,0,0,0,1,1,0,1
large,JJ,NN,NN,NNS,IN,1,0,0,1,0,0,0
amounts,NNS,JJ,NN,IN,NNS,0,0,0,1,1,0,0
of,IN,NNS,JJ,NNS,CC,0,0,0,1,0,0,1
data,NNS,IN,NNS,CC,JJ,0,0,0,1,0,0,0
and,CC,NNS,IN,JJ,NN,0,0,0,1,0,0,1
theoretical,JJ,CC,NNS,NN,CC,0,0,0,1,0,0,1
understanding,NN,JJ,CC,CC,NN,0,0,0,1,0,0,1
and,CC,NN,JJ,NN,NNS,0,0,0,1,0,0,1
ai,NN,CC,NN,NNS,VBP,0,0,0,1,0,0,0
techniques,NNS,NN,CC,VBP,VBN,0,0,0,1,0,0,0
have,VBP,NNS,NN,VBN,DT,0,0,0,1,0,0,1
become,VBN,VBP,NNS,DT,JJ,0,0,0,1,0,0,0
an,DT,VBN,VBP,JJ,NN,0,0,0,1,0,0,1
essential,JJ,DT,VBN,NN,IN,0,0,0,1,0,0,0
part,NN,JJ,DT,IN,DT,0,0,0,1,0,0,1
of,IN,NN,JJ,DT,NN,0,0,0,1,0,0,1
the,DT,IN,NN,NN,NN,0,0,0,1,0,0,1
technology,NN,DT,IN,NN,VBG,0,0,0,1,0,0,0
industry,NN,NN,DT,VBG,TO,0,0,0,1,0,0,0
helping,VBG,NN,NN,TO,VB,0,0,0,1,0,0,0
to,TO,VBG,NN,VB,JJ,0,0,0,1,0,0,1
solve,VB,TO,VBG,JJ,VBG,0,0,0,1,1,0,0
many,JJ,VB,TO,VBG,NNS,1,0,0,0,1,0,1
challenging,VBG,JJ,VB,NNS,IN,1,0,1,0,1,0,0
problems,NNS,VBG,JJ,IN,NN,0,0,0,1,1,0,0
in,IN,NNS,VBG,NN,NN,0,0,0,1,0,0,1
computer,NN,IN,NNS,NN,NN,0,0,0,1,0,0,0
science,NN,NN,IN,NN,NN,0,0,0,1,0,0,1
software,NN,NN,NN,NN,CC,0,0,0,1,0,0,0
engineering,NN,NN,NN,CC,NNS,0,0,0,1,0,0,0
and,CC,NN,NN,NNS,NN,0,0,0,1,0,0,1
operations,NNS,CC,NN,NN,,0,0,0,1,0,0,0
research,NN,NNS,CC,,,0,0,0,1,1,1,1
